City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
153,Roura,GF,2022-07-14 11:52:23,4.7263,-52.3274,77.97,94,75,2.3
154,Larsnes,NO,2022-07-14 11:52:24,62.2028,5.5773,56.01,80,100,6.35
155,Bredasdorp,ZA,2022-07-14 11:52:24,-34.5322,20.0403,60.94,65,75,11.99
156,Raychikhinsk,RU,2022-07-14 11:52:24,49.7838,129.4121,67.69,92,7,6.46
157,Zeya,RU,2022-07-14 11:52:24,53.75,127.2667,69.85,73,80,4.68
158,Burnie,AU,2022-07-14 11:52:25,-41.0667,145.9167,47.95,82,71,6.78
159,Katsuura,JP,2022-07-14 11:52:25,35.1333,140.3,74.75,93,100,8.19
160,Beyneu,KZ,2022-07-14 11:52:26,45.3167,55.2,102.67,8,2,12.64
161,Bereda,ES,2022-07-14 11:52:26,43.2686,-7.5406,99.41,56,48,6.15
162,Kodinsk,RU,2022-07-14 11:52:26,58.6881,99.1844,61.36,57,75,5.35
163,Macau,MO,2022-07-14 11:52:26,22.2006,113.5461,85.8,79,20,8.05
164,Puri,IN,2022-07-14 11:52:27,19.8,85.85,82.92,74,100,9.64
165,Norwich,GB,2022-07-14 11:52:27,52.6278,1.2983,74.35,56,40,10.36
166,Agadez,NE,2022-07-14 11:52:27,19.75,10.25,101.43,11,28,10.78
167,Ranot,TH,2022-07-14 11:52:28,7.7777,100.3213,80.15,77,99,11.68
168,Nantucket,US,2022-07-14 11:50:57,41.2835,-70.0995,70.09,94,0,0.0
169,Ryotsu,JP,2022-07-14 11:52:28,38.0833,138.4333,75.36,88,100,6.98
170,Eyl,SO,2022-07-14 11:52:28,7.9803,49.8164,93.54,41,87,29.12
171,Caxias,PT,2022-07-14 11:52:29,38.7031,-9.2767,87.62,60,20,9.22
172,College,US,2022-07-14 11:51:31,64.8569,-147.8028,51.28,79,40,0.0
173,Anito,PH,2022-07-14 11:52:29,12.4497,125.2886,80.56,85,67,5.3
174,Livramento,BR,2022-07-14 11:52:30,-3.0254,-60.1803,79.47,94,0,0.0
175,Tual,ID,2022-07-14 11:52:30,-5.6667,132.75,79.23,77,97,23.4
176,Atuona,PF,2022-07-14 11:52:30,-9.8,-139.0333,77.23,71,8,17.58
177,Springbok,ZA,2022-07-14 11:52:31,-29.6643,17.8865,63.1,30,0,3.85
178,Varhaug,NO,2022-07-14 11:52:31,58.6147,5.6457,56.86,67,100,23.69
179,Afrikanda,RU,2022-07-14 11:52:31,67.4429,32.7828,58.91,99,100,4.5
180,Shingu,JP,2022-07-14 11:52:31,33.7333,135.9833,74.53,91,92,1.48
181,Vanavara,RU,2022-07-14 11:52:32,60.34,102.2797,57.25,82,100,2.91
182,Aswan,EG,2022-07-14 11:52:32,24.0934,32.907,103.3,19,0,10.36
183,Faranah,GN,2022-07-14 11:52:32,10.0404,-10.7434,79.38,73,100,5.86
184,Kralendijk,BQ,2022-07-14 11:52:33,12.15,-68.2667,80.58,78,0,9.22
185,Mahebourg,MU,2022-07-14 11:52:33,-20.4081,57.7,75.49,64,75,13.8
186,Norman Wells,CA,2022-07-14 11:52:33,65.282,-126.8329,51.84,87,100,14.97
187,Puerto Ayacucho,VE,2022-07-14 11:52:34,5.6639,-67.6236,74.84,92,70,1.52
188,Dudinka,RU,2022-07-14 11:52:34,69.4058,86.1778,65.62,50,90,9.53
189,Medvedka,RU,2022-07-14 11:52:34,61.1629,46.387,77.5,51,85,5.79
190,Malazgirt,TR,2022-07-14 11:52:35,39.1427,42.5401,92.73,15,0,3.87
191,Biak,ID,2022-07-14 11:52:35,-0.9131,122.8766,74.1,92,100,5.1
192,Sechura,PE,2022-07-14 11:52:35,-5.5569,-80.8222,63.27,77,94,14.32
