City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
406,Wanning,CN,83.61,broken clouds,18.8003,110.3967,Paradise Hotel
407,Banganapalle,IN,78.57,overcast clouds,15.3167,78.2333,Hotel salamth
409,Zharkent,KZ,70.02,clear sky,44.1628,80.0,гостиница Satti
414,Basco,PH,84.94,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
416,Bonnyville,CA,84.0,scattered clouds,54.2668,-110.735,Best Western Bonnyville Inn & Suites
419,Shingu,JP,73.15,moderate rain,33.7333,135.9833,Shingu UI Hotel
420,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
421,Gizo,SB,82.92,light rain,-8.103,156.8419,Imagination Island
423,Mujiayingzi,CN,71.01,broken clouds,42.1167,118.7833,Jinjiang Hotel
424,Yenagoa,NG,73.4,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
426,Terme,TR,67.93,few clouds,41.2092,36.9739,OTEL GÜVEN TERME
427,Madingou,CG,71.37,few clouds,-4.1536,13.55,HOTEL KIM ELISA
428,Crossville,US,85.3,clear sky,35.949,-85.0269,Hampton Inn Crossville
429,Aki,JP,76.95,overcast clouds,33.5,133.9,Seigetsu Ryokan
430,Lano,NG,73.96,overcast clouds,10.1725,11.4715,Lano
436,Trincomalee,LK,80.11,overcast clouds,8.5711,81.2335,Welcombe Hotel
437,Pangai,TO,82.51,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
438,College,US,72.07,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
440,Taiyuan,CN,71.46,mist,37.8694,112.5603,Taiyuan Wanda Wenhua Hotel
443,Veraval,IN,81.34,overcast clouds,20.9,70.3667,Lords Inn Somnath
444,Alpena,US,71.92,clear sky,45.0617,-83.4327,Days Inn by Wyndham Alpena
445,Hanna,CA,88.86,clear sky,51.6334,-111.9018,West View Motel
448,Labuhan,ID,77.85,broken clouds,-6.8844,112.2051,DoubleFAG
450,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
451,Dubreka,GN,78.87,light rain,9.7911,-13.5233,Hôtel le Semeur Chez Eva
452,Mastic Beach,US,78.78,clear sky,40.7668,-72.8521,Brushwood House by Smith Point Beach
454,Takoradi,GH,75.33,light rain,4.8845,-1.7554,Raybow International Hotel
458,Kuliyapitiya,LK,80.28,overcast clouds,7.4688,80.0401,Rest House
460,Namtsy,RU,77.32,overcast clouds,62.7161,129.6658,"""Эңсиэли Киин"""
461,Johi,PK,82.0,overcast clouds,26.6921,67.6133,Haji Fareed/ Abdul Qyoum Rodnani OTAQUE
466,Tabuk,PH,80.76,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
467,Turbat,PK,87.28,overcast clouds,26.0023,63.044,Mubashar Quarters
468,Pedernales,DO,82.33,overcast clouds,18.0384,-71.744,Hotel Costa Marina
470,Arrifes,PT,68.25,scattered clouds,37.7667,-25.7,Hotel Ponta Delgada
471,Srivardhan,IN,80.24,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
476,Grand-Lahou,CI,75.04,light rain,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
478,Calabozo,VE,77.31,overcast clouds,8.9242,-67.4293,Hotel Giardini
479,Oistins,BB,81.52,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
480,San Jose,US,89.69,clear sky,37.3394,-121.895,The Westin San Jose
485,Daru,PG,78.17,broken clouds,-9.0763,143.2092,Daru Lodge
490,Suihua,CN,73.13,scattered clouds,46.6406,126.9969,Water Resources Bureau Hostel
491,Meulaboh,ID,76.33,broken clouds,4.1363,96.1285,Kost Pria
492,Hargeysa,SO,67.8,overcast clouds,9.56,44.065,City Center Hotel
